epoch,train_loss,val_loss,train_acc,test_acc
0,1.736931386506161,1.369156243801117,38.642,51.21
1,1.1143442247529773,1.0180546480417252,60.09,64.38
2,0.8840941388893615,0.8652709072828293,68.774,69.53
3,0.7337419524064759,0.7561519902944565,74.38,74.99
4,0.6235835054493926,0.641188476383686,78.47,78.4
5,0.5454543108677925,0.5802101120352745,81.056,79.92
6,0.4954157916023908,0.5780261290073395,82.812,80.38
7,0.4446918088990404,0.5937375605106354,84.636,80.8
8,0.41523562596582086,0.6460314616560936,85.56,79.74
9,0.38036417305621956,0.4763095332682133,86.826,84.17
10,0.3519309826214295,0.4106363482773304,87.848,86.26
11,0.33072767999318553,0.4544217890501022,88.77,84.95
12,0.3132725708624896,0.43625226482748986,89.03,85.38
13,0.2926591232685787,0.4464138028025627,89.88,85.45
14,0.2769160196756768,0.4047993379831314,90.452,86.53
15,0.2583074588185686,0.3762936848402023,90.94,87.75
16,0.24771721211388287,0.40453928872942924,91.384,87.12
17,0.2356720443462472,0.4274525547027588,91.718,87.07
18,0.22278100549412505,0.3702625934779644,92.142,88.38
19,0.21576996332467974,0.38214974001049995,92.358,88.21
20,0.20670599042607085,0.3863947677612305,92.708,87.76
21,0.19323741177768658,0.35590908586978914,93.182,89.0
22,0.18420799620582928,0.45733840972185136,93.626,86.88
23,0.17780635646923118,0.37474999397993086,93.542,89.08
24,0.17228348072989821,0.3914112263917923,93.844,88.61
25,0.1707017419531065,0.38178999193012714,93.962,88.52
26,0.15644816229181827,0.31614121593534944,94.498,90.46
27,0.15641729903343082,0.4068052576482296,94.468,88.25
28,0.13954008365874096,0.3990360362827778,95.06,88.51
29,0.13751956085910272,0.3384918500483036,95.12,90.42
30,0.138686981247476,0.3976729202270508,95.184,89.03
31,0.1359634661518247,0.36874310061335563,95.11,89.74
32,0.12682116403222998,0.43434652864933015,95.482,88.39
33,0.1246053935469264,0.39524315029382706,95.54,89.5
34,0.11773388621771275,0.4064560830593109,95.892,89.19
35,0.12437632333134752,0.34558151334524156,95.6,90.07
36,0.11417121016194144,0.37506349876523015,95.936,89.57
37,0.10861708795475533,0.4038051941990852,96.196,88.79
38,0.10592096629064254,0.32634968221187594,96.268,90.98
39,0.1002653732972072,0.34409731805324556,96.39,90.07
40,0.10433764800029185,0.33450579300522804,96.342,90.7
41,0.10435046196041052,0.38965344309806826,96.304,89.36
42,0.09374777764520224,0.32541319385170936,96.81,90.76
43,0.09945993571568404,0.3840750016272068,96.516,89.65
44,0.09703656366985777,0.4020910115540028,96.51,89.39
45,0.09240219580566944,0.3638044749200344,96.788,90.21
46,0.09278661828211811,0.3553465510904789,96.684,90.44
47,0.09093863853370138,0.3671827346086502,96.818,90.27
48,0.09092187618984439,0.37984007090330124,96.808,90.4
49,0.09243629630797964,0.42691794261336324,96.674,89.16
50,0.08828310980020887,0.3327340589463711,96.844,91.35
51,0.08927609120278865,0.3659589220583439,96.89,90.0
52,0.08276345238299168,0.3428712497651577,97.106,90.61
53,0.08354197408708618,0.31287136897444723,97.042,91.75
54,0.0821970771007297,0.3264789970219135,97.144,91.21
55,0.08334496507273458,0.3798290153592825,97.044,90.2
56,0.08138729430868498,0.3835870881378651,97.158,90.3
57,0.0800895873419083,0.3491137083619833,97.268,90.83
58,0.07742700515710332,0.3843988288938999,97.344,90.28
59,0.07862980894106048,0.38169248558580876,97.138,90.41
60,0.08050153614795955,0.34916214235126974,97.152,90.67
61,0.0827705944480989,0.3902865784615278,97.094,90.22
62,0.08217823770268799,0.3560748489201069,97.158,91.05
63,0.0725802930710299,0.365423943400383,97.52,90.92
64,0.07479005634470288,0.3733610324561596,97.374,90.56
65,0.07504861873200597,0.3628893970698118,97.41,90.88
66,0.08371798616245656,0.3390782855451107,97.038,90.91
67,0.07534227218917187,0.3324367670714855,97.37,91.2
68,0.07094786246843121,0.34852942518889907,97.488,90.97
69,0.0726521545735276,0.35085848718881607,97.534,91.3
70,0.07901269683847799,0.3680148659646511,97.2,90.78
